Loan_ID,Age,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,LoanAmount,Previous_Loan_Taken,Cibil_Score,Property_Area,Customer_Bandwith,Tenure,Loan_Status
LP001002,43,Male,No,3,Graduate,No,54005,334113,Yes,668,Urban,Good,43,No
LP001003,57,Male,Yes,2,Graduate,No,28817,736026,Yes,684,Rural,Good,13,Yes
LP001005,25,Male,Yes,3,Graduate,Yes,99939,712432,Yes,788,Urban,Good,10,No
LP001006,44,Male,Yes,1,Not Graduate,No,38470,267161,Yes,888,Urban,Good,9,No
LP001008,58,Male,No,1,Graduate,No,28991,402474,Yes,703,Urban,Good,11,No
LP001011,34,Male,Yes,0,Graduate,Yes,65843,243599,Yes,688,Urban,Good,34,No
LP001013,18,Male,Yes,4,Not Graduate,No,46598,212840,Yes,786,Urban,Good,19,No
LP001014,54,Male,Yes,1,Graduate,No,53213,368715,No,447,Semiurban,Bad,17,Yes
LP001018,43,Male,Yes,0,Graduate,No,74895,699918,Yes,605,Urban,Medium,18,No
LP001020,33,Male,Yes,0,Graduate,No,57348,347577,Yes,378,Semiurban,Bad,18,Yes
LP001024,34,Male,Yes,3,Graduate,No,25837,385127,Yes,761,Urban,Good,45,No
LP001027,25,Male,Yes,4,Graduate,,33603,867157,Yes,792,Urban,Good,35,No
LP001028,33,Male,Yes,1,Graduate,No,75192,661005,Yes,829,Urban,Good,11,No
LP001029,32,Male,No,4,Graduate,No,43208,309303,Yes,585,Rural,Medium,39,Yes
LP001030,46,Male,Yes,0,Graduate,No,89500,785884,Yes,859,Urban,Good,19,No
LP001032,40,Male,No,1,Graduate,No,54298,390135,Yes,855,Urban,Good,44,No
LP001034,59,Male,No,5,Not Graduate,No,67312,382271,No,811,Urban,Good,42,No
LP001036,45,Female,No,2,Graduate,No,27568,830422,No,659,Urban,Good,35,Yes
LP001038,46,Male,Yes,3,Not Graduate,No,64627,208847,Yes,427,Rural,Bad,25,Yes
LP001041,34,Male,Yes,1,Graduate,,62204,404009,Yes,699,Urban,Good,35,No
LP001043,39,Male,Yes,3,Not Graduate,No,57258,250356,No,658,Urban,Good,30,Yes
LP001046,30,Male,Yes,0,Graduate,No,87162,405614,Yes,840,Urban,Good,12,No
LP001047,36,Male,Yes,3,Not Graduate,No,82725,571498,No,569,Semiurban,Medium,7,Yes
LP001050,60,,Yes,1,Not Graduate,No,70320,342487,No,762,Rural,Good,14,Yes
LP001052,60,Male,Yes,2,Graduate,,52763,529654,No,482,Semiurban,Medium,46,Yes
LP001066,21,Male,Yes,0,Graduate,Yes,95485,280912,Yes,825,Semiurban,Good,19,No
LP001068,30,Male,Yes,1,Graduate,No,52035,434874,Yes,778,Semiurban,Good,11,No
LP001073,23,Male,Yes,5,Not Graduate,No,80886,690612,Yes,640,Urban,Medium,23,No
LP001086,26,Male,No,0,Not Graduate,No,32465,546959,Yes,651,Urban,Good,35,Yes
LP001087,52,Female,No,5,Graduate,,65753,320773,Yes,725,Semiurban,Good,39,No
LP001091,36,Male,Yes,4,Graduate,,79930,472511,No,305,Urban,Bad,19,Yes
LP001095,47,Male,No,4,Graduate,No,51729,632909,Yes,776,Urban,Good,8,Yes
LP001097,21,Male,No,0,Graduate,Yes,72294,876913,Yes,626,Rural,Medium,30,Yes
LP001098,59,Male,Yes,1,Graduate,No,68402,716371,Yes,767,Semiurban,Good,12,No
LP001100,36,Male,No,4,Graduate,No,61779,692704,Yes,466,Rural,Medium,45,Yes
LP001106,22,Male,Yes,5,Graduate,No,27763,100016,Yes,631,Urban,Medium,17,No
LP001109,39,Male,Yes,5,Graduate,No,44967,828930,No,564,Urban,Medium,7,Yes
LP001112,31,Female,Yes,0,Graduate,No,56576,222391,Yes,805,Semiurban,Good,42,No
LP001114,58,Male,No,4,Graduate,No,45518,200778,Yes,719,Urban,Good,17,No
LP001116,59,Male,No,3,Not Graduate,No,93968,664798,Yes,775,Semiurban,Good,5,No
LP001119,55,Male,No,2,Graduate,No,29707,978950,Yes,369,Urban,Bad,24,Yes
LP001120,27,Male,No,3,Graduate,No,49769,140006,Yes,736,Urban,Good,38,No
LP001123,51,Male,Yes,1,Graduate,No,21663,279391,No,678,Urban,Good,26,No
LP001131,30,Male,Yes,0,Graduate,No,34221,778315,Yes,792,Semiurban,Good,12,No
LP001136,18,Male,Yes,0,Not Graduate,Yes,40142,876406,Yes,827,Urban,Good,8,No
LP001137,24,Female,No,0,Graduate,No,44823,252269,Yes,609,Urban,Medium,18,No
LP001138,47,Male,Yes,0,Graduate,No,25586,352982,Yes,887,Urban,Good,22,No
LP001144,48,Male,Yes,3,Graduate,No,35657,910177,Yes,845,Urban,Good,15,No
LP001146,37,Female,Yes,4,Graduate,No,27086,670975,No,856,Urban,Good,34,Yes
LP001151,43,Female,No,3,Graduate,No,79709,908614,Yes,671,Semiurban,Good,27,No
LP001155,46,Female,Yes,4,Not Graduate,No,64631,187616,Yes,813,Semiurban,Good,11,No
LP001157,48,Female,No,4,Graduate,No,58171,453384,Yes,673,Semiurban,Good,22,No
LP001164,27,Female,No,0,Graduate,No,39469,848969,Yes,573,Semiurban,Medium,25,Yes
LP001179,26,Male,Yes,0,Graduate,No,85345,241098,Yes,793,Urban,Good,27,Yes
LP001186,21,Female,Yes,2,Graduate,Yes,62246,338356,No,395,Urban,Bad,27,Yes
LP001194,35,Male,Yes,1,Graduate,No,97237,237776,Yes,659,Semiurban,Good,35,No
LP001195,23,Male,Yes,3,Graduate,No,61485,216437,Yes,613,Semiurban,Medium,42,No
LP001197,54,Male,Yes,1,Graduate,No,79427,971115,Yes,449,Rural,Bad,31,Yes
LP001198,55,Male,Yes,3,Graduate,No,60289,309901,Yes,789,Urban,Good,37,No
LP001199,34,Male,Yes,2,Not Graduate,No,72736,571986,Yes,604,Urban,Medium,23,No
LP001205,23,Male,Yes,1,Graduate,No,40436,541294,Yes,807,Urban,Good,31,No
LP001206,59,Male,Yes,5,Graduate,No,85129,824607,Yes,775,Urban,Good,36,No
LP001207,23,Male,Yes,3,Not Graduate,Yes,86320,288171,No,543,Rural,Medium,13,Yes
LP001213,18,Male,Yes,0,Graduate,No,82543,573013,No,506,Rural,Medium,34,Yes
LP001222,32,Female,No,1,Graduate,No,80965,546895,No,789,Semiurban,Good,42,Yes
LP001225,40,Male,Yes,3,Graduate,No,54877,401013,Yes,403,Semiurban,Bad,46,Yes
LP001228,42,Male,No,2,Not Graduate,No,28791,419869,No,500,Urban,Medium,40,Yes
LP001233,18,Male,Yes,4,Graduate,No,28070,676452,Yes,650,Urban,Medium,30,No
LP001238,49,Male,Yes,0,Not Graduate,Yes,72078,809900,Yes,771,Urban,Good,9,No
LP001241,30,Female,No,1,Graduate,No,77987,843472,No,856,Semiurban,Good,42,Yes
LP001243,53,Male,Yes,3,Graduate,No,83980,972898,Yes,894,Urban,Good,13,No
LP001245,59,Male,Yes,0,Not Graduate,Yes,51146,867511,Yes,643,Semiurban,Medium,35,No
LP001248,37,Male,No,5,Graduate,No,95994,575424,Yes,765,Semiurban,Good,10,No
LP001250,45,Male,Yes,3,Not Graduate,No,65416,505665,No,359,Semiurban,Bad,30,Yes
LP001253,43,Male,Yes,4,Graduate,Yes,36462,429294,Yes,697,Semiurban,Good,15,No
LP001255,59,Male,No,3,Graduate,No,42307,119692,Yes,655,Urban,Good,31,Yes
LP001256,53,Male,No,2,Graduate,No,62983,553158,Yes,377,Urban,Bad,30,Yes
LP001259,30,Male,Yes,5,Graduate,Yes,28888,775217,Yes,497,Urban,Medium,48,Yes
LP001263,59,Male,Yes,0,Graduate,No,80222,634374,No,541,Semiurban,Medium,9,Yes
LP001264,39,Male,Yes,3,Not Graduate,Yes,32088,189322,No,677,Semiurban,Good,40,No
LP001265,57,Female,No,0,Graduate,No,83264,886877,Yes,843,Semiurban,Good,32,No
LP001266,50,Male,Yes,3,Graduate,Yes,30044,596365,Yes,682,Semiurban,Good,8,No
LP001267,41,Female,Yes,4,Graduate,No,95313,805449,Yes,307,Urban,Bad,23,Yes
LP001273,49,Male,Yes,1,Graduate,No,61304,751961,No,698,Semiurban,Good,22,Yes
LP001275,34,Male,Yes,3,Graduate,No,42833,303578,Yes,833,Urban,Good,18,No
LP001279,58,Male,No,0,Graduate,No,45800,261590,Yes,757,Semiurban,Good,38,No
LP001280,55,Male,Yes,3,Not Graduate,No,60188,365392,No,654,Semiurban,Good,5,No
LP001282,41,Male,Yes,1,Graduate,No,92471,687347,Yes,847,Semiurban,Good,16,No
LP001289,26,Male,No,5,Graduate,No,97501,130155,Yes,707,Urban,Good,9,No
LP001310,37,Male,Yes,1,Graduate,No,28064,429541,Yes,832,Semiurban,Good,48,No
LP001316,40,Male,Yes,0,Graduate,No,65346,743478,Yes,854,Semiurban,Good,27,No
LP001318,26,Male,Yes,4,Graduate,No,29305,803216,Yes,657,Semiurban,Good,10,No
LP001319,59,Male,Yes,4,Not Graduate,No,34846,863280,Yes,774,Urban,Good,45,No
LP001322,47,Male,No,0,Graduate,No,53632,388855,Yes,757,Semiurban,Good,40,No
LP001325,29,Male,No,5,Not Graduate,No,50201,408649,Yes,842,Semiurban,Good,47,No
LP001326,48,Male,No,5,Graduate,,85429,361530,No,374,Urban,Bad,5,Yes
LP001327,19,Female,Yes,0,Graduate,No,70904,756042,Yes,601,Semiurban,Medium,17,No
LP001333,35,Male,Yes,5,Graduate,No,84822,666931,Yes,605,Semiurban,Medium,24,No
LP001334,33,Male,Yes,1,Not Graduate,No,63519,788684,Yes,862,Semiurban,Good,12,No
LP001343,22,Male,Yes,3,Graduate,No,71779,430355,Yes,700,Semiurban,Good,14,No
LP001345,22,Male,Yes,4,Not Graduate,No,40032,541282,Yes,809,Urban,Good,20,No
LP001349,37,Male,No,5,Graduate,No,99620,766581,Yes,711,Semiurban,Good,21,No
LP001350,32,Male,Yes,0,Graduate,No,54215,489480,Yes,757,Urban,Good,38,No
LP001356,37,Male,Yes,0,Graduate,No,59567,875187,Yes,898,Semiurban,Good,19,No
LP001357,41,Male,,3,Graduate,No,60629,525359,Yes,695,Urban,Good,10,No
LP001367,26,Male,Yes,1,Graduate,No,23570,685158,Yes,659,Urban,Good,42,No
LP001369,43,Male,Yes,1,Graduate,No,93365,247982,Yes,688,Urban,Good,41,No
LP001370,18,Male,No,0,Not Graduate,,93879,544738,Yes,865,Rural,Good,10,Yes
LP001379,37,Male,Yes,1,Graduate,No,89920,324096,No,640,Urban,Medium,23,Yes
LP001384,37,Male,Yes,0,Not Graduate,No,53479,354901,Yes,715,Semiurban,Good,17,No
LP001385,47,Male,No,1,Graduate,No,90003,939666,Yes,728,Urban,Good,18,No
LP001387,59,Female,Yes,4,Graduate,,81519,345203,Yes,898,Semiurban,Good,48,No
LP001391,56,Male,Yes,1,Not Graduate,No,75161,434400,No,651,Rural,Good,33,Yes
LP001392,28,Female,No,5,Graduate,Yes,87225,358695,Yes,764,Semiurban,Good,36,No
LP001398,48,Male,No,5,Graduate,,23750,952275,Yes,600,Semiurban,Medium,31,No
LP001401,28,Male,Yes,2,Graduate,No,40533,566336,Yes,812,Rural,Good,11,No
LP001404,43,Female,Yes,1,Graduate,No,34859,246072,Yes,712,Semiurban,Good,17,No
LP001405,47,Male,Yes,3,Graduate,No,84149,774657,No,639,Urban,Medium,14,No
LP001421,29,Male,Yes,5,Graduate,No,57596,760385,Yes,818,Rural,Good,17,Yes
LP001422,19,Female,No,4,Graduate,No,35565,816152,Yes,717,Urban,Good,32,No
LP001426,21,Male,Yes,0,Graduate,No,21573,385188,Yes,795,Rural,Good,46,No
LP001430,25,Female,No,3,Graduate,No,84566,492349,Yes,793,Semiurban,Good,38,No
LP001431,31,Female,No,1,Graduate,No,78657,269017,No,796,Semiurban,Good,30,No
LP001432,43,Male,Yes,1,Graduate,No,53087,190046,Yes,653,Semiurban,Good,9,No
LP001439,54,Male,Yes,2,Not Graduate,No,32055,397363,Yes,821,Rural,Good,37,No
LP001443,55,Female,No,3,Graduate,No,30661,652331,No,829,Rural,Good,20,No
LP001448,33,,Yes,3,Graduate,No,71059,514891,Yes,647,Rural,Medium,9,No
LP001449,20,Male,No,5,Graduate,No,52240,326241,Yes,652,Rural,Good,42,No
LP001451,22,Male,Yes,1,Graduate,Yes,99847,248270,No,618,Urban,Medium,41,Yes
LP001465,33,Male,Yes,2,Graduate,No,53720,598603,No,555,Rural,Medium,14,Yes
LP001469,18,Male,No,3,Graduate,Yes,77783,183770,No,801,Urban,Good,15,No
LP001473,45,Male,No,5,Graduate,No,57162,260844,Yes,708,Urban,Good,6,No
LP001478,56,Male,No,2,Graduate,No,92455,673093,Yes,888,Semiurban,Good,36,No
LP001482,60,Male,Yes,0,Graduate,Yes,75853,376895,Yes,667,Semiurban,Good,5,No
LP001487,28,Male,No,5,Graduate,No,79358,258088,Yes,626,Semiurban,Medium,47,No
LP001488,21,Male,Yes,1,Graduate,No,26973,597199,Yes,708,Semiurban,Good,42,Yes
LP001489,46,Female,Yes,2,Graduate,No,64391,649305,Yes,612,Rural,Medium,39,Yes
LP001491,54,Male,Yes,2,Graduate,Yes,77458,923087,Yes,677,Urban,Good,46,No
LP001492,59,Male,No,4,Graduate,No,37350,831729,No,589,Semiurban,Medium,46,Yes
LP001493,23,Male,Yes,5,Not Graduate,No,20389,504152,Yes,605,Rural,Medium,5,Yes
LP001497,55,Male,Yes,1,Graduate,No,45019,913070,Yes,684,Rural,Good,42,Yes
LP001498,30,Male,No,5,Graduate,No,42032,691095,Yes,807,Urban,Good,10,No
LP001504,35,Male,No,5,Graduate,Yes,52983,232311,Yes,716,Semiurban,Good,43,No
LP001507,52,Male,Yes,2,Graduate,No,54231,170898,Yes,643,Semiurban,Medium,29,No
LP001508,26,Male,Yes,4,Graduate,No,78898,821062,Yes,697,Urban,Good,16,No
LP001514,19,Female,Yes,1,Graduate,No,79472,478669,Yes,882,Semiurban,Good,13,No
LP001516,28,Female,Yes,2,Graduate,No,64325,570680,Yes,832,Urban,Good,42,No
LP001518,37,Male,Yes,2,Graduate,No,72727,144228,Yes,702,Urban,Good,34,No
LP001519,21,Female,No,1,Graduate,No,65875,309667,Yes,450,Rural,Bad,20,Yes
LP001520,32,Male,Yes,4,Graduate,No,30274,448033,Yes,895,Semiurban,Good,7,No
LP001528,44,Male,No,1,Graduate,No,73626,781523,No,437,Rural,Bad,26,Yes
LP001529,42,Male,Yes,1,Graduate,Yes,68117,321042,Yes,820,Rural,Good,37,No
LP001531,44,Male,No,0,Graduate,No,26407,763135,Yes,521,Urban,Medium,33,Yes
LP001532,43,Male,Yes,1,Not Graduate,No,69377,139110,Yes,517,Rural,Medium,5,Yes
LP001535,42,Male,No,2,Graduate,No,40403,368453,Yes,832,Urban,Good,15,No
LP001536,24,Male,Yes,5,Graduate,No,84974,764458,No,876,Semiurban,Good,23,No
LP001541,43,Male,Yes,1,Graduate,No,78120,318682,No,673,Rural,Good,46,No
LP001543,46,Male,Yes,1,Graduate,No,92675,994651,Yes,705,Urban,Good,41,No
LP001546,46,Male,No,0,Graduate,,75349,814093,Yes,615,Rural,Medium,6,No
LP001552,28,Male,Yes,5,Graduate,No,94482,140080,Yes,808,Semiurban,Good,23,No
LP001560,48,Male,Yes,4,Not Graduate,No,83433,407358,Yes,855,Semiurban,Good,20,No
LP001562,42,Male,Yes,1,Graduate,No,95132,797378,Yes,304,Urban,Bad,29,Yes
LP001565,34,Male,Yes,5,Graduate,No,56953,277697,No,402,Semiurban,Bad,28,Yes
LP001570,21,Male,Yes,1,Graduate,No,24374,916054,Yes,806,Rural,Good,15,No
LP001572,39,Male,Yes,3,Graduate,No,23212,170303,Yes,727,Urban,Good,18,No
LP001574,60,Male,Yes,3,Graduate,No,40011,200143,Yes,799,Rural,Good,40,No
LP001577,39,Female,Yes,2,Graduate,No,95203,360367,Yes,683,Rural,Good,34,Yes
LP001578,39,Male,Yes,0,Graduate,No,35677,618208,Yes,625,Rural,Medium,9,No
LP001579,34,Male,No,4,Graduate,No,35535,555247,No,596,Semiurban,Medium,44,Yes
LP001580,50,Male,Yes,2,Graduate,No,91015,159300,Yes,831,Semiurban,Good,34,No
LP001581,57,Male,Yes,0,Not Graduate,,33400,531087,Yes,706,Rural,Good,22,No
LP001585,48,,Yes,0,Graduate,No,40470,136045,Yes,689,Urban,Good,34,No
LP001586,27,Male,Yes,2,Not Graduate,No,36343,545416,Yes,447,Rural,Bad,33,Yes
LP001594,33,Male,Yes,1,Graduate,No,50029,945115,Yes,787,Semiurban,Good,8,No
LP001603,58,Male,Yes,0,Not Graduate,Yes,37349,542361,Yes,679,Semiurban,Good,20,Yes
LP001606,27,Male,Yes,3,Graduate,No,27792,123660,Yes,624,Rural,Medium,33,No
LP001608,42,Male,Yes,3,Graduate,No,67477,294878,Yes,896,Rural,Good,29,No
LP001610,42,Male,Yes,1,Graduate,No,70314,662273,No,714,Semiurban,Good,28,Yes
LP001616,54,Male,Yes,5,Graduate,No,83638,823198,Yes,758,Semiurban,Good,41,No
LP001630,47,Male,No,5,Not Graduate,No,50024,167520,No,677,Urban,Good,33,Yes
LP001633,56,Male,Yes,4,Graduate,No,68520,213996,No,486,Urban,Medium,26,Yes
LP001634,56,Male,No,2,Graduate,No,92358,282090,No,445,Rural,Bad,13,Yes
LP001636,45,Male,Yes,1,Graduate,No,43740,261552,Yes,798,Semiurban,Good,48,No
LP001637,18,Male,Yes,4,Graduate,No,31004,602557,Yes,815,Semiurban,Good,35,Yes
LP001639,19,Female,Yes,2,Graduate,No,22309,486080,Yes,845,Semiurban,Good,21,No
LP001640,40,Male,Yes,4,Graduate,Yes,92653,580054,Yes,684,Semiurban,Good,39,No
LP001641,59,Male,Yes,3,Graduate,Yes,24577,863187,No,643,Rural,Medium,13,Yes
LP001643,38,Male,Yes,2,Graduate,No,96319,425289,No,723,Rural,Good,32,No
LP001644,36,,Yes,3,Graduate,Yes,31972,996531,Yes,614,Rural,Medium,46,No
LP001647,52,Male,Yes,4,Graduate,No,95823,822369,Yes,670,Rural,Good,32,No
LP001653,22,Male,No,5,Not Graduate,No,33185,514412,Yes,688,Rural,Good,32,No
LP001656,29,Male,No,3,Graduate,No,93303,181422,Yes,892,Semiurban,Good,11,Yes
LP001657,60,Male,Yes,1,Not Graduate,No,96635,526074,Yes,377,Urban,Bad,15,Yes
LP001658,54,Male,No,4,Graduate,No,73520,771847,Yes,739,Semiurban,Good,14,No
LP001664,20,Male,No,1,Graduate,No,69022,859921,Yes,889,Rural,Good,12,No
LP001665,59,Male,Yes,0,Graduate,No,81062,463394,Yes,306,Semiurban,Bad,12,Yes
LP001666,22,Male,No,0,Graduate,No,64067,919753,Yes,874,Rural,Good,45,No
LP001669,19,Female,No,1,Not Graduate,No,70748,464160,Yes,630,Urban,Medium,5,No
LP001671,26,Female,Yes,3,Graduate,No,83365,675415,No,800,Semiurban,Good,26,No
LP001673,40,Male,No,4,Graduate,Yes,41025,259954,Yes,854,Urban,Good,35,Yes
LP001674,51,Male,Yes,2,Not Graduate,No,86669,353414,Yes,889,Semiurban,Good,22,No
LP001677,52,Male,No,4,Graduate,No,44573,509399,No,615,Semiurban,Medium,47,No
LP001682,42,Male,Yes,1,Not Graduate,No,58013,588668,Yes,353,Urban,Bad,32,Yes
LP001688,45,Male,Yes,2,Not Graduate,No,37057,940894,Yes,849,Urban,Good,7,No
LP001691,41,Male,Yes,5,Not Graduate,No,98216,402828,Yes,847,Semiurban,Good,43,No
LP001692,29,Female,No,3,Not Graduate,No,75269,869687,Yes,797,Semiurban,Good,7,No
LP001693,41,Female,No,4,Graduate,No,61706,612829,Yes,882,Urban,Good,31,No
LP001698,41,Male,No,4,Not Graduate,No,85763,317355,Yes,649,Rural,Medium,11,No
LP001699,59,Male,No,1,Graduate,No,48986,859259,Yes,625,Urban,Medium,43,No
LP001702,39,Male,No,0,Graduate,No,50411,727740,Yes,314,Semiurban,Bad,18,Yes
LP001708,32,Female,No,4,Graduate,No,39590,553975,Yes,374,Semiurban,Bad,45,Yes
LP001711,19,Male,Yes,5,Graduate,No,68195,991859,No,660,Semiurban,Good,41,Yes
LP001713,56,Male,Yes,0,Graduate,Yes,79070,525512,Yes,667,Urban,Good,41,No
LP001715,60,Male,Yes,5,Not Graduate,Yes,71079,706518,Yes,843,Rural,Good,45,No
LP001716,40,Male,Yes,3,Graduate,No,42435,508829,Yes,709,Urban,Good,46,No
LP001720,37,Male,Yes,1,Not Graduate,No,83835,225619,Yes,755,Semiurban,Good,39,No
LP001722,38,Male,Yes,5,Graduate,No,46061,176733,Yes,830,Rural,Good,33,Yes
LP001726,43,Male,Yes,2,Graduate,No,99798,758334,Yes,635,Semiurban,Medium,46,No
LP001732,35,Male,Yes,1,Graduate,,62925,228835,No,479,Semiurban,Medium,31,Yes
LP001734,31,Female,Yes,3,Graduate,No,97810,650994,No,830,Semiurban,Good,15,No
LP001736,21,Male,Yes,0,Graduate,No,50897,554149,No,433,Urban,Bad,37,Yes
LP001743,52,Male,Yes,2,Graduate,No,27725,750834,Yes,862,Semiurban,Good,42,No
LP001744,28,Male,No,0,Graduate,No,50984,391829,Yes,631,Semiurban,Medium,44,No
LP001749,37,Male,Yes,2,Graduate,No,52260,269670,Yes,600,Semiurban,Medium,27,No
LP001750,18,Male,Yes,5,Graduate,No,48499,499501,Yes,778,Semiurban,Good,25,No
LP001751,32,Male,Yes,5,Graduate,No,51537,177991,Yes,888,Rural,Good,31,Yes
LP001754,37,Male,Yes,4,Not Graduate,Yes,98590,360401,Yes,694,Urban,Good,34,Yes
LP001758,55,Male,Yes,5,Graduate,No,29672,645927,Yes,638,Semiurban,Medium,8,No
LP001760,52,Male,,2,Graduate,No,41686,872220,Yes,669,Semiurban,Good,39,No
LP001761,55,Male,No,2,Graduate,Yes,53320,317771,Yes,775,Rural,Good,39,No
LP001765,35,Male,Yes,1,Graduate,No,47658,998428,Yes,872,Semiurban,Good,5,No
LP001768,38,Male,Yes,2,Graduate,,59072,852619,Yes,662,Rural,Good,13,No
LP001770,56,Male,No,0,Not Graduate,No,77431,922145,Yes,697,Rural,Good,22,No
LP001776,51,Female,No,4,Graduate,No,69968,942510,Yes,764,Semiurban,Good,8,No
LP001778,42,Male,Yes,3,Graduate,No,73323,264372,Yes,702,Semiurban,Good,35,No
LP001784,34,Male,Yes,5,Graduate,No,34006,233732,Yes,755,Rural,Good,36,No
LP001786,55,Male,Yes,2,Graduate,,70164,540818,No,615,Urban,Medium,9,Yes
LP001788,29,Female,No,3,Graduate,Yes,51201,403261,No,634,Urban,Medium,5,No
LP001790,53,Female,No,1,Graduate,No,93845,698617,Yes,893,Rural,Good,29,No
LP001792,43,Male,Yes,1,Graduate,No,27464,516481,Yes,781,Semiurban,Good,34,No
LP001798,57,Male,Yes,1,Graduate,No,40743,999511,Yes,635,Rural,Medium,44,No
LP001800,34,Male,Yes,4,Not Graduate,No,61675,903404,Yes,594,Urban,Medium,9,Yes
LP001806,51,Male,No,1,Graduate,No,50253,658203,Yes,643,Urban,Medium,28,No
